,Start,Center,End,alphaC,alphaC_std,alphaN,alphaN_std
0,0.0011691498898269326,0.051191640171116715,0.10121413045240649,[  65.35230822 -299.99999988    0.34310474],[1.34756668e+02 6.34617061e+02 1.08761694e-10],[-1.08244569 -2.24925251],[0.55525194 0.60377989]
1,0.00118784988619377,0.051210340167483555,0.10123283044877332,[  65.31682941 -299.99999988    1.23999758],[1.34291758e+02 6.32757792e+02 4.96499548e-11],[-1.08256415 -2.25097285],[0.55366641 0.60272864]
2,0.0012065498825606072,0.05122904016385039,0.10125153044514017,[  65.28138395 -299.99999986   -0.79996724],[1.33826159e+02 6.30892991e+02 7.11933644e-11],[-1.08268249 -2.25269497],[0.5520758  0.60166932]
3,0.0012252498789274446,0.05124774016021723,0.101270230441507,[  65.24599243 -299.99999988    0.34500285],[1.33361861e+02 6.29031891e+02 1.52593805e-12],[-1.08280067 -2.25441767],[0.55048811 0.60060976]
4,0.0012439498752942818,0.05126644015658406,0.10128893043787383,[  65.21065654 -299.99999983    1.08667237],[1.32901303e+02 6.27186016e+02 6.81171680e-11],[-1.08291867 -2.25614084],[0.54891343 0.59956068]
5,0.0012626498716611192,0.0512851401529509,0.10130763043424068,[ 6.51753739e+01 -3.00000000e+02 -2.26755776e-01],[1.32443498e+02 6.25350703e+02 7.13726825e-11],[-1.0830365  -2.25786462],[0.54734772 0.59851826]
6,0.0012813498680279564,0.05130384014931774,0.10132633043060751,[  65.14014577 -299.99999984    0.9794367 ],[1.31986704e+02 6.23517788e+02 7.97468808e-12],[-1.08315416 -2.25958891],[0.54578379 0.59747425]
7,0.0013000498643947938,0.051322540145684575,0.10134503042697435,[ 6.51049675e+01 -3.00000000e+02  9.36716946e-02],[1.31532209e+02 6.21693379e+02 5.63273606e-11],[-1.08327166 -2.26131399],[0.54422701 0.59643476]
8,0.001318749860761631,0.051341240142051416,0.10136373042334118,[  65.06986907 -299.99999938   -1.2280009 ],[1.31079477e+02 6.19874680e+02 1.60665073e-11],[-1.08338892 -2.26303813],[0.54267493 0.59539652]
9,0.0013374498571284683,0.05135994013841825,0.10138243041970803,[ 6.50347936e+01 -2.99999999e+02 -2.18206424e-01],[1.30631724e+02 6.18077495e+02 6.68103121e-11],[-1.08350609 -2.26476457],[0.54114138 0.59437552]
