,Start,Center,End,alphaC,alphaC_std,alphaN,alphaN_std
0,0.0011691498898269326,0.0036936493993499683,0.006218148908873004,[ 1.59200421e-01  7.37800265e+01 -3.35972251e+03],[1.39342970e-03 7.39916372e-01 9.16890500e+01],[0. 0.],[0. 0.]
1,0.00118784988619377,0.0037123493957168054,0.006236848905239841,[ 1.60126238e-01  7.32894338e+01 -3.29922227e+03],[1.37705354e-03 7.28010593e-01 8.98419861e+01],[0. 0.],[0. 0.]
2,0.0012065498825606072,0.0037310493920836426,0.006255548901606678,[ 1.61005018e-01  7.28246494e+01 -3.24200390e+03],[1.36368669e-03 7.17795448e-01 8.82182930e+01],[0. 0.],[0. 0.]
3,0.0012252498789274446,0.0037497493884504803,0.006274248897973516,[ 1.61873629e-01  7.23678253e+01 -3.18604294e+03],[1.35027793e-03 7.07641345e-01 8.66149193e+01],[0. 0.],[0. 0.]
4,0.0012439498752942818,0.0037684493848173174,0.006292948894340353,[ 1.62732324e-01  7.19187480e+01 -3.13130292e+03],[1.33681879e-03 6.97543453e-01 8.50310551e+01],[0. 0.],[0. 0.]
5,0.0012626498716611192,0.0037871493811841546,0.00631164889070719,[ 1.63582450e-01  7.14766007e+01 -3.07767366e+03],[1.32330099e-03 6.87496992e-01 8.34659051e+01],[0. 0.],[0. 0.]
6,0.0012813498680279564,0.003805849377550992,0.006330348887074028,[ 1.64421094e-01  7.10429325e+01 -3.02533645e+03],[1.30971766e-03 6.77498100e-01 8.19188034e+01],[0. 0.],[0. 0.]
7,0.0013000498643947938,0.0038245493739178294,0.006349048883440865,[ 1.65250215e-01  7.06165866e+01 -2.97413939e+03],[1.29606178e-03 6.67542838e-01 8.03890808e+01],[0. 0.],[0. 0.]
8,0.001318749860761631,0.0038432493702846666,0.006367748879807702,[ 1.66069078e-01  7.01978997e+01 -2.92411442e+03],[1.28232770e-03 6.57628057e-01 7.88761746e+01],[0. 0.],[0. 0.]
9,0.0013374498571284683,0.003861949366651504,0.00638644887617454,[ 1.66877378e-01  6.97869672e+01 -2.87526361e+03],[1.26850978e-03 6.47750648e-01 7.73795340e+01],[0. 0.],[0. 0.]
10,0.0013561498534953055,0.0038806493630183414,0.006405148872541377,[ 1.67675448e-01  6.93835377e+01 -2.82754710e+03],[1.25460349e-03 6.37908088e-01 7.58986826e+01],[0. 0.],[0. 0.]
11,0.001374849849862143,0.0038993493593851786,0.006423848868908214,[ 1.68462644e-01  6.89878883e+01 -2.78098898e+03],[1.24060457e-03 6.28098067e-01 7.44331870e+01],[0. 0.],[0. 0.]
12,0.0013935498462289801,0.003918049355752016,0.006442548865275051,[ 1.69240094e-01  6.85993428e+01 -2.73549896e+03],[1.22651002e-03 6.18318944e-01 7.29826862e+01],[0. 0.],[0. 0.]
13,0.0014122498425958175,0.003936749352118853,0.006461248861641889,[ 1.70004841e-01  6.82194126e+01 -2.69124836e+03],[1.21231671e-03 6.08569007e-01 7.15468246e+01],[0. 0.],[0. 0.]
14,0.001430949838962655,0.003955449348485691,0.006479948858008726,[ 1.70760470e-01  6.78461114e+01 -2.64799117e+03],[1.19802270e-03 5.98847198e-01 7.01253256e+01],[0. 0.],[0. 0.]
15,0.0014496498353294921,0.003974149344852528,0.006498648854375563,[ 1.71504955e-01  6.74804505e+01 -2.60583903e+03],[1.18362640e-03 5.89152552e-01 6.87179228e+01],[0. 0.],[0. 0.]
16,0.0014683498316963293,0.003992849341219365,0.006517348850742401,[ 1.72239226e-01  6.71218704e+01 -2.56471701e+03],[1.16912714e-03 5.79484741e-01 6.73244385e+01],[0. 0.],[0. 0.]
17,0.0014870498280631667,0.004011549337586202,0.006536048847109238,[ 1.72961779e-01  6.67710921e+01 -2.52470124e+03],[1.15452473e-03 5.69843502e-01 6.59446902e+01],[0. 0.],[0. 0.]
18,0.001505749824430004,0.00403024933395304,0.006554748843476075,[ 1.73672950e-01  6.64278663e+01 -2.48575336e+03],[1.13981940e-03 5.60228844e-01 6.45785416e+01],[0. 0.],[0. 0.]
19,0.0015244498207968413,0.004048949330319877,0.006573448839842913,[ 1.74372771e-01  6.60921039e+01 -2.44785415e+03],[1.12501276e-03 5.50641497e-01 6.32259328e+01],[0. 0.],[0. 0.]
20,0.0015431498171636785,0.004067649326686714,0.00659214883620975,[ 1.75061745e-01  6.57634756e+01 -2.41095682e+03],[1.11010649e-03 5.41082137e-01 6.18868027e+01],[0. 0.],[0. 0.]
21,0.0015618498135305159,0.004086349323053551,0.0066108488325765866,[ 1.75738812e-01  6.54424589e+01 -2.37510821e+03],[1.09510266e-03 5.31551612e-01 6.05611064e+01],[0. 0.],[0. 0.]
22,0.0015805498098973533,0.004105049319420389,0.006629548828943425,[ 1.76403852e-01  6.51290421e+01 -2.34029814e+03],[1.08000516e-03 5.22051719e-01 5.92489128e+01],[0. 0.],[0. 0.]
23,0.0015992498062641905,0.004123749315787226,0.006648248825310262,[ 1.77059001e-01  6.48220668e+01 -2.30638546e+03],[1.06481730e-03 5.12583815e-01 5.79502316e+01],[0. 0.],[0. 0.]
24,0.0016179498026310279,0.004142449312154063,0.0066669488216770986,[ 1.77702052e-01  6.45225915e+01 -2.27348357e+03],[1.04954428e-03 5.03150233e-01 5.66651891e+01],[0. 0.],[0. 0.]
25,0.001636649798997865,0.004161149308520901,0.006685648818043937,[ 1.78332366e-01  6.42308658e+01 -2.24161230e+03],[1.03419097e-03 4.93753050e-01 5.53938735e+01],[0. 0.],[0. 0.]
26,0.0016553497953647025,0.004179849304887738,0.006704348814410774,[ 1.78951343e-01  6.39461129e+01 -2.21067508e+03],[1.01876383e-03 4.84395116e-01 5.41364647e+01],[0. 0.],[0. 0.]
