"link-primary","link-primary href","Tag","SearchResultCard__footerItem"
"Specialista/ka nákupu - JUNIOR/SENIOR","https://www.jobs.cz/rpd/1626598847/?searchId=0647e6cd-4f1e-4f96-8d6d-96f1daf7730d&rps=228","Možnost občasné práce z domova","ČEPS, a.s."
"Obchodník Junior (m/ž)","https://www.jobs.cz/rpd/1625342720/?searchId=0647e6cd-4f1e-4f96-8d6d-96f1daf7730d&rps=228","Odpověď do 2 týdnů","O2 Czech Republic a.s."
"Specialista/ka provozních činností VVN - JUNIOR","https://www.jobs.cz/rpd/1620027950/?searchId=0647e6cd-4f1e-4f96-8d6d-96f1daf7730d&rps=228","","ČEPS, a.s."
"Python developer of test automatization for infotainment app","https://www.jobs.cz/rpd/1621012830/?searchId=0647e6cd-4f1e-4f96-8d6d-96f1daf7730d&rps=233","Odpověď do 2 týdnů","Digiteq Automotive s.r.o."
"Python Developer","https://www.jobs.cz/rpd/1625567351/?searchId=0647e6cd-4f1e-4f96-8d6d-96f1daf7730d&rps=233","Odpověď do 2 týdnů","Universal Production Partners, a.s."
"Python Developer (f/m/d)","https://www.jobs.cz/rpd/1623203499/?searchId=0647e6cd-4f1e-4f96-8d6d-96f1daf7730d&rps=233","Odpověď do 2 týdnů","Porsche Engineering Services, s.r.o."
"Python Developer","https://www.jobs.cz/rpd/1616252965/?searchId=0647e6cd-4f1e-4f96-8d6d-96f1daf7730d&rps=233","Odpověď do 2 týdnů","PricewaterhouseCoopers Česká republika, s.r.o."
"Python Backend Team Lead | fintech startup","https://www.jobs.cz/rpd/1623517255/?searchId=0647e6cd-4f1e-4f96-8d6d-96f1daf7730d&rps=233","Možnost občasné práce z domova","Skip Pay s.r.o."
"HiL SW Automation Developer Python - Prague (f/m/d)","https://www.jobs.cz/rpd/1571493804/?searchId=0647e6cd-4f1e-4f96-8d6d-96f1daf7730d&rps=233","Odpověď do 2 týdnů","Porsche Engineering Services, s.r.o."
"Umělá inteligence  - Python vývojář -  startup z USA","https://www.jobs.cz/rpd/1594416698/?searchId=0647e6cd-4f1e-4f96-8d6d-96f1daf7730d&rps=233","Odpověď do 2 týdnů","Luxonis"
