"link-primary","link-primary href","Tag","SearchResultCard__footerItem","Tag 2","Tag 3"
"Specialista/ka nákupu - JUNIOR/SENIOR","https://www.jobs.cz/rpd/1626598847/?searchId=fd825996-56d8-4ca5-9808-003ed1a6dfdd&rps=228","Možnost občasné práce z domova","ČEPS, a.s.","",""
"Obchodník Junior (m/ž)","https://www.jobs.cz/rpd/1625342720/?searchId=fd825996-56d8-4ca5-9808-003ed1a6dfdd&rps=228","Odpověď do 2 týdnů","O2 Czech Republic a.s.","60 000 ‍–‍ 80 000 Kč","Možnost občasné práce z domova"
"Specialista/ka provozních činností VVN - JUNIOR","https://www.jobs.cz/rpd/1620027950/?searchId=fd825996-56d8-4ca5-9808-003ed1a6dfdd&rps=228","","ČEPS, a.s.","",""
"Python developer of test automatization for infotainment app","https://www.jobs.cz/rpd/1621012830/?searchId=fd825996-56d8-4ca5-9808-003ed1a6dfdd&rps=233","Odpověď do 2 týdnů","Digiteq Automotive s.r.o.","",""
"Python Developer (f/m/d)","https://www.jobs.cz/rpd/1623203499/?searchId=fd825996-56d8-4ca5-9808-003ed1a6dfdd&rps=233","Odpověď do 2 týdnů","Porsche Engineering Services, s.r.o.","","Možnost občasné práce z domova"
"Python Developer","https://www.jobs.cz/rpd/1616252965/?searchId=fd825996-56d8-4ca5-9808-003ed1a6dfdd&rps=233","Odpověď do 2 týdnů","PricewaterhouseCoopers Česká republika, s.r.o.","","Možnost občasné práce z domova"
"Python Backend Team Lead | fintech startup","https://www.jobs.cz/rpd/1623517255/?searchId=fd825996-56d8-4ca5-9808-003ed1a6dfdd&rps=233","Možnost občasné práce z domova","Skip Pay s.r.o.","",""
"HiL SW Automation Developer Python - Prague (f/m/d)","https://www.jobs.cz/rpd/1571493804/?searchId=fd825996-56d8-4ca5-9808-003ed1a6dfdd&rps=233","Odpověď do 2 týdnů","Porsche Engineering Services, s.r.o.","","Možnost občasné práce z domova"
"Umělá inteligence  - Python vývojář -  startup z USA","https://www.jobs.cz/rpd/1594416698/?searchId=fd825996-56d8-4ca5-9808-003ed1a6dfdd&rps=233","Odpověď do 2 týdnů","Luxonis","70 000 ‍–‍ 130 000 Kč","Práce převážně z domova"
"Software Tool Developer - Python","https://www.jobs.cz/rpd/1603511637/?searchId=fd825996-56d8-4ca5-9808-003ed1a6dfdd&rps=233","Možnost občasné práce z domova","VALEO PRAHA","",""
"Test Engineer - Python/EXAM","https://www.jobs.cz/rpd/1613503525/?searchId=fd825996-56d8-4ca5-9808-003ed1a6dfdd&rps=233","Odpověď do 2 týdnů","AUFEER DESIGN, s.r.o.","60 000 ‍–‍ 90 000 Kč","Možnost občasné práce z domova"
"SW Backend Developer with Python","https://www.jobs.cz/rpd/1625903195/?searchId=fd825996-56d8-4ca5-9808-003ed1a6dfdd&rps=233","Možnost občasné práce z domova","VALEO PRAHA","60 000 ‍–‍ 100 000 Kč",""
"Senior Developer - Python, Jenkins, Java","https://www.jobs.cz/rpd/1622858214/?searchId=fd825996-56d8-4ca5-9808-003ed1a6dfdd&rps=233","","KBC Global Services NV","",""
"Team Leader – Backend development (Python)","https://www.jobs.cz/rpd/1618399644/?searchId=fd825996-56d8-4ca5-9808-003ed1a6dfdd&rps=233","Odpověď do 2 týdnů","GIT Consult Czech s.r.o.","","Práce převážně z domova"
"Programátor junior","https://www.jobs.cz/rpd/2000048072/?searchId=fd825996-56d8-4ca5-9808-003ed1a6dfdd&rps=233","Možnost občasné práce z domova","eYello CZ, k.s.","",""
"Linux správce junior","https://www.jobs.cz/rpd/1616146883/?searchId=fd825996-56d8-4ca5-9808-003ed1a6dfdd&rps=233","Odpověď do 2 týdnů","Operátor ICT, a. s.","",""
"Junior Trading Analyst (Energy Trading)","https://www.jobs.cz/rpd/1587603894/?searchId=fd825996-56d8-4ca5-9808-003ed1a6dfdd&rps=233","Odpověď do 2 týdnů","Sev.en Commodities AG, odštěpný závod","",""
"XiL Simulation Engineer Junior/Senior (f/m/d)","https://www.jobs.cz/rpd/1593878646/?searchId=fd825996-56d8-4ca5-9808-003ed1a6dfdd&rps=233","Odpověď do 2 týdnů","Porsche Engineering Services, s.r.o.","","Možnost občasné práce z domova"
"Junior Product Owner(ka)","https://www.jobs.cz/rpd/2000045591/?searchId=fd825996-56d8-4ca5-9808-003ed1a6dfdd&rps=233","","GymBeam s.r.o.","1 400 ‍–‍ 1 800 EUR",""
"Front-End Developer (junior)","https://www.jobs.cz/rpd/1625228810/?searchId=fd825996-56d8-4ca5-9808-003ed1a6dfdd&rps=233","Odpověď do 2 týdnů","Digiteq Automotive s.r.o.","",""
"Cyber security engineer/manager i junior (až 140.000 Kč)","https://www.jobs.cz/rpd/1614376013/?searchId=fd825996-56d8-4ca5-9808-003ed1a6dfdd&rps=233","Práce převážně z domova","Jobs Contact Personal, s.r.o.","70 000 ‍–‍ 140 000 Kč",""
"pozice na míru pro IT ADMINISTRÁTORY (od juniorů po seniory)","https://www.jobs.cz/rpd/1625269152/?searchId=fd825996-56d8-4ca5-9808-003ed1a6dfdd&rps=233","Odpověď do 2 týdnů","TOTAL SERVICE a.s.","","Možnost občasné práce z domova"
"Realitní makléř Junior","https://www.jobs.cz/rpd/1626498767/?searchId=fd825996-56d8-4ca5-9808-003ed1a6dfdd&rps=233","Možnost občasné práce z domova","Duna House","80 000 ‍–‍ 120 000 Kč",""
"Junior účetní","https://www.jobs.cz/rpd/2000047807/?searchId=fd825996-56d8-4ca5-9808-003ed1a6dfdd&rps=233","","PBW GROUP s.r.o.","40 000 ‍–‍ 50 000 Kč",""
"ÚČETNÍ - junior/senior","https://www.jobs.cz/rpd/2000049449/?searchId=fd825996-56d8-4ca5-9808-003ed1a6dfdd&rps=233","Odpověď do 2 týdnů","KHYPO s.r.o.","",""
"KAM Junior - FMCG  (ž/m)","https://www.jobs.cz/rpd/1626308756/?searchId=fd825996-56d8-4ca5-9808-003ed1a6dfdd&rps=233","Odpověď do 2 týdnů","NO77 s.r.o.","",""
"Prodejce nákladních vozidel junior","https://www.jobs.cz/rpd/1622759094/?searchId=fd825996-56d8-4ca5-9808-003ed1a6dfdd&rps=233","Odpověď do 2 týdnů","Daimler Truck Česká republika s.r.o.","","Možnost občasné práce z domova"
"Junior účetní do moderní společnosti","https://www.jobs.cz/rpd/1625067629/?searchId=fd825996-56d8-4ca5-9808-003ed1a6dfdd&rps=233","","Talentem s.r.o.","40 000 ‍–‍ 50 000 Kč",""
"Projektový manager junior","https://www.jobs.cz/rpd/1625238093/?searchId=fd825996-56d8-4ca5-9808-003ed1a6dfdd&rps=233","Odpověď do 2 týdnů","EP Cargo a.s.","",""
"Junior konzultant/Intern - tým Pojišťovnictví","https://www.jobs.cz/rpd/1611690828/?searchId=fd825996-56d8-4ca5-9808-003ed1a6dfdd&rps=233","Možnost občasné práce z domova","EY","",""
"Junior analytik pro Finanční oddělení","https://www.jobs.cz/rpd/1619556726/?searchId=fd825996-56d8-4ca5-9808-003ed1a6dfdd&rps=233","","EY","",""
"Junior účetní","https://www.jobs.cz/rpd/1619880745/?searchId=fd825996-56d8-4ca5-9808-003ed1a6dfdd&rps=233","","HR Advisors CZ s.r.o.","40 000 ‍–‍ 45 000 Kč",""
"Junior operations executive v Mystery Shoppingu","https://www.jobs.cz/rpd/1626280246/?searchId=fd825996-56d8-4ca5-9808-003ed1a6dfdd&rps=233","Odpověď do 2 týdnů","IPSOS s.r.o.","","Možnost občasné práce z domova"
"Project Manager Junior v Invia.cz","https://www.jobs.cz/rpd/1624804436/?searchId=fd825996-56d8-4ca5-9808-003ed1a6dfdd&rps=233","Odpověď do 2 týdnů","Invia.cz, a.s.","","Možnost občasné práce z domova"
"JUNIOR ÚČETNÍ / Praha 9 - Kyje","https://www.jobs.cz/rpd/2000045297/?searchId=fd825996-56d8-4ca5-9808-003ed1a6dfdd&rps=233","Odpověď do 2 týdnů","Schubert partner a.s.","30 000 Kč",""
"Portuguese Junior Payroll Specialist","https://www.jobs.cz/rpd/1623089530/?searchId=fd825996-56d8-4ca5-9808-003ed1a6dfdd&rps=233","Možnost občasné práce z domova","ADP Employer Services Česká republika, a.s.","",""
"Junior mzdový/á účetní Praha","https://www.jobs.cz/rpd/1620934831/?searchId=fd825996-56d8-4ca5-9808-003ed1a6dfdd&rps=233","Odpověď do 2 týdnů","Accace Outsourcing s.r.o.","","Možnost občasné práce z domova"
"Junior - AS4S00 Developer","https://www.jobs.cz/rpd/1625781494/?searchId=ff56c319-6c93-4494-a8ca-ec8fe1cf9c4f&rps=233","Odpověď do 2 týdnů","NN","","Práce převážně z domova"
"Síťový správce junior","https://www.jobs.cz/rpd/1616145317/?searchId=ff56c319-6c93-4494-a8ca-ec8fe1cf9c4f&rps=233","Odpověď do 2 týdnů","Operátor ICT, a. s.","",""
