t;Pa
0,00;1,01E+05
1,00;1,01E+05
2,00;1,01E+05
3,00;1,01E+05
4,00;1,01E+05
5,00;1,01E+05
6,00;1,01E+05
7,00;1,01E+05
8,00;1,01E+05
9,00;1,01E+05
10,00;1,01E+05
11,00;1,01E+05
12,00;1,01E+05
13,00;1,01E+05
14,00;1,01E+05
15,00;1,01E+05
16,00;1,01E+05
17,00;1,01E+05
18,00;1,01E+05
19,00;1,01E+05
20,00;1,01E+05
21,00;1,01E+05
22,00;1,01E+05
23,00;1,01E+05
24,00;1,01E+05
25,00;1,01E+05
26,00;1,01E+05
27,00;1,01E+05
28,00;1,01E+05
29,00;1,01E+05
30,00;1,01E+05
31,00;1,01E+05
32,00;1,01E+05
33,00;1,01E+05
34,00;1,01E+05
35,00;1,01E+05
36,00;1,01E+05
37,00;1,01E+05
38,00;1,01E+05
39,00;1,01E+05
40,00;1,01E+05
41,00;1,01E+05
42,00;1,01E+05
43,00;1,01E+05
44,00;1,01E+05
45,00;1,01E+05
46,00;1,01E+05
47,00;1,01E+05
48,00;1,01E+05
49,00;1,01E+05
50,00;1,01E+05
51,00;1,01E+05
52,00;1,01E+05
53,00;1,01E+05
54,00;1,01E+05
55,00;1,01E+05
56,00;1,01E+05
57,00;1,01E+05
58,00;1,01E+05
59,00;1,01E+05
60,00;1,01E+05
61,00;1,01E+05
62,00;1,01E+05
63,00;1,01E+05
64,00;1,01E+05
65,00;1,01E+05
66,00;1,01E+05
67,00;1,01E+05
68,00;1,01E+05
69,00;1,01E+05
70,00;1,01E+05
71,00;1,01E+05
72,00;1,01E+05
73,00;1,01E+05
74,00;1,01E+05
75,00;1,01E+05
76,00;1,01E+05
77,00;1,01E+05
78,00;1,01E+05
79,00;1,01E+05
80,00;1,01E+05
81,00;1,01E+05
82,00;1,01E+05
83,00;1,01E+05
84,00;1,01E+05
85,00;1,01E+05
86,00;1,01E+05
87,00;1,01E+05
88,00;1,01E+05
89,00;1,01E+05
90,00;1,01E+05
91,00;1,01E+05
92,00;1,01E+05
93,00;1,01E+05
94,00;1,01E+05
95,00;1,01E+05
96,00;1,01E+05
97,00;1,01E+05
98,00;1,01E+05
99,00;1,01E+05
100,00;1,01E+05
101,00;1,01E+05
102,00;1,01E+05
103,00;1,01E+05
104,00;1,01E+05
105,00;1,01E+05
106,00;1,01E+05
107,00;1,01E+05
108,00;1,01E+05
109,00;1,01E+05
110,00;1,01E+05
111,00;1,01E+05
112,00;1,01E+05
113,00;1,01E+05
114,00;1,01E+05
115,00;1,01E+05
116,00;1,01E+05
117,00;1,01E+05
118,00;1,01E+05
119,00;1,01E+05
120,00;1,01E+05
121,00;1,01E+05
122,00;1,01E+05
123,00;1,01E+05
124,00;1,01E+05
125,00;1,01E+05
126,00;1,01E+05
127,00;1,01E+05
128,00;1,01E+05
129,00;1,01E+05
130,00;1,01E+05
131,00;1,01E+05
132,00;1,01E+05
133,00;1,01E+05
134,00;1,01E+05
135,00;1,01E+05
136,00;1,01E+05
137,00;1,01E+05
138,00;1,01E+05
139,00;1,01E+05
140,00;1,01E+05
141,00;1,01E+05
142,00;1,01E+05
143,00;1,01E+05
144,00;1,01E+05
145,00;1,01E+05
146,00;1,01E+05
147,00;1,01E+05
148,00;1,01E+05
149,00;1,01E+05
150,00;1,01E+05
151,00;1,01E+05
152,00;1,01E+05
153,00;1,01E+05
154,00;1,01E+05
155,00;1,01E+05
156,00;1,01E+05
157,00;1,01E+05
158,00;1,01E+05
159,00;1,01E+05
160,00;1,01E+05
161,00;1,01E+05
162,00;1,01E+05
163,00;1,01E+05
164,00;1,01E+05
165,00;1,01E+05
166,00;1,01E+05
167,00;1,01E+05
168,00;1,01E+05
169,00;1,01E+05
170,00;1,01E+05
171,00;1,01E+05
