Mass	Value
0,000	1,430695E-08
0,031	1,269010E-08
0,063	1,165225E-08
0,094	1,119317E-08
0,125	1,109160E-08
0,156	1,132539E-08
0,188	1,218385E-08
0,219	1,390850E-08
0,250	1,615144E-08
0,281	1,810692E-08
0,313	1,927199E-08
0,344	1,974372E-08
0,375	1,986997E-08
0,406	1,992379E-08
0,438	2,003131E-08
0,469	2,019258E-08
0,500	2,031201E-08
0,531	2,029274E-08
0,563	2,018590E-08
0,594	2,023916E-08
0,625	2,076986E-08
0,656	2,228186E-08
0,688	2,703609E-08
0,719	4,493602E-08
0,750	1,085776E-07
0,781	2,968288E-07
0,813	7,484734E-07
0,844	1,641632E-06
0,875	3,142733E-06
0,906	5,342201E-06
0,938	8,168122E-06
0,969	1,130352E-05
1,000	1,423728E-05
1,031	1,652942E-05
1,063	1,807587E-05
1,094	1,905051E-05
1,125	1,961917E-05
1,156	1,980414E-05
1,188	1,955100E-05
1,219	1,881593E-05
1,250	1,763589E-05
1,281	1,612925E-05
1,313	1,433787E-05
1,344	1,212976E-05
1,375	9,423987E-06
1,406	6,509632E-06
1,438	4,015864E-06
1,469	2,476185E-06
1,500	1,955746E-06
1,531	2,154338E-06
1,563	2,758243E-06
1,594	3,615949E-06
1,625	4,697935E-06
1,656	6,009097E-06
1,688	7,535816E-06
1,719	9,225264E-06
1,750	1,098486E-05
1,781	1,270088E-05
1,813	1,427003E-05
1,844	1,562254E-05
1,875	1,672487E-05
1,906	1,757164E-05
1,938	1,817792E-05
1,969	1,857225E-05
2,000	1,878865E-05
2,031	1,885986E-05
2,063	1,881262E-05
2,094	1,865976E-05
2,125	1,838813E-05
2,156	1,795505E-05
2,188	1,732186E-05
2,219	1,652373E-05
2,250	1,566995E-05
2,281	1,479599E-05
2,313	1,374616E-05
2,344	1,227500E-05
2,375	1,023446E-05
2,406	7,690954E-06
2,438	4,988474E-06
2,469	2,663468E-06
2,500	1,118585E-06
2,531	3,535716E-07
2,563	7,837542E-08
2,594	8,594947E-09
2,625	0,000000E+00
2,656	0,000000E+00
2,688	8,777092E-11
2,719	2,003199E-09
2,750	3,680650E-09
2,781	4,961051E-09
2,813	5,845405E-09
2,844	6,487018E-09
2,875	7,049705E-09
2,906	7,599346E-09
2,938	8,083145E-09
2,969	8,423406E-09
3,000	8,603318E-09
3,031	8,658330E-09
3,063	8,653385E-09
3,094	8,671398E-09
3,125	8,776517E-09
3,156	8,922272E-09
3,188	8,931649E-09
3,219	8,697871E-09
3,250	8,309170E-09
3,281	7,859798E-09
3,313	7,292260E-09
3,344	6,474092E-09
3,375	5,334276E-09
3,406	3,966077E-09
3,438	2,625772E-09
3,469	1,554512E-09
3,500	8,173781E-10
3,531	3,683538E-10
3,563	1,717336E-10
3,594	2,063979E-10
3,625	4,069770E-10
3,656	6,388188E-10
3,688	7,780669E-10
3,719	8,207861E-10
3,750	8,695356E-10
3,781	9,914475E-10
3,813	1,146417E-09
3,844	1,280849E-09
3,875	1,412375E-09
3,906	1,593131E-09
3,938	1,838711E-09
3,969	2,092312E-09
4,000	2,217747E-09
4,031	2,099735E-09
4,063	1,810034E-09
4,094	1,615507E-09
4,125	1,725322E-09
4,156	2,035211E-09
4,188	2,239204E-09
4,219	2,126139E-09
4,250	1,705683E-09
4,281	1,195803E-09
4,313	8,705928E-10
4,344	7,794875E-10
4,375	6,834156E-10
4,406	3,841704E-10
4,438	8,427916E-12
4,469	0,000000E+00
4,500	2,958310E-11
4,531	3,166582E-10
4,563	4,533079E-10
4,594	4,313632E-10
4,625	4,475316E-10
4,656	6,141298E-10
4,688	7,927885E-10
4,719	7,567568E-10
4,750	4,616699E-10
4,781	6,195951E-11
4,813	0,000000E+00
4,844	0,000000E+00
4,875	0,000000E+00
4,906	0,000000E+00
4,938	0,000000E+00
4,969	0,000000E+00
5,000	0,000000E+00
5,031	0,000000E+00
5,063	0,000000E+00
5,094	0,000000E+00
5,125	0,000000E+00
5,156	7,811254E-11
5,188	1,725568E-10
5,219	6,695625E-11
5,250	0,000000E+00
5,281	0,000000E+00
5,313	0,000000E+00
5,344	2,458472E-10
5,375	5,863444E-10
5,406	8,639210E-10
5,438	1,107321E-09
5,469	1,298544E-09
5,500	1,349268E-09
5,531	1,227635E-09
5,563	9,940114E-10
5,594	7,226321E-10
5,625	4,683753E-10
5,656	2,841116E-10
5,688	2,092888E-10
5,719	2,519948E-10
5,750	3,976034E-10
5,781	5,930773E-10
5,813	7,534047E-10
5,844	8,473122E-10
5,875	8,990384E-10
5,906	9,137791E-10
5,938	9,234668E-10
5,969	1,008493E-09
6,000	1,174370E-09
6,031	1,329683E-09
6,063	1,396197E-09
6,094	1,361913E-09
6,125	1,295144E-09
6,156	1,305249E-09
6,188	1,405471E-09
6,219	1,473449E-09
6,250	1,403611E-09
6,281	1,229263E-09
6,313	1,047608E-09
6,344	8,951001E-10
6,375	7,580902E-10
6,406	6,276038E-10
6,438	4,727946E-10
6,469	2,362194E-10
6,500	0,000000E+00
6,531	0,000000E+00
6,563	0,000000E+00
6,594	2,806569E-10
6,625	5,637709E-10
